ID_REF	Description	GSM41346	GSM41347	GSM41348	GSM41349	GSM41350	GSM41351	GSM41352	GSM41353	GSM41354	GSM41355	GSM41356	GSM41357
201555_at	NA	1245.8	1092.7	924.2	1720.1	1323.9	966	1993.2	1510.1	1306.1	2226.4	1694.3	1356.3
201556_s_at	NA	487	443	595.8	583.3	542.3	335.9	610.4	478.9	605.9	651.4	538.9	442.9
201557_at	NA	515.1	238	445	498	315.2	349	619.7	365.6	395	496.3	329.6	515.5
201558_at	NA	849.4	1104.8	847.9	958.8	1082.6	848	901.1	1148.6	839.1	915.6	1147	842.6
201559_s_at	NA	2623	1023.1	2105.9	2622.6	900	2681.7	2445.5	1093.4	2433.6	2194.2	963.9	2291
201560_at	NA	3660.9	2856.8	2436.7	3487.8	3592.2	1945.5	2310.2	3571.8	2650.8	1962.6	3510.2	1977
201561_s_at	NA	1794.4	1686.2	1864.3	1365.2	1291.1	1438.9	1508.4	1172	1293.8	1273.6	1281.2	1353.3
201562_s_at	NA	216.3	128.5	265.4	360.5	321.3	433	385	267.2	424.7	342.9	236.1	518.3
201563_at	NA	403.5	463.5	331.2	621.9	690.1	736	527.7	594	592.6	591.8	594.5	621.9
201564_s_at	NA	116.1	399.4	309.9	200.3	84	114.9	159.5	64.9	77.1	191.4	31.8	109.1
201565_s_at	NA	184.5	1170.4	358.3	106.8	171.4	132.1	20.1	47.3	44.2	5.9	38.9	37.7
201566_x_at	NA	62.7	284.5	122	37.9	65.5	36.2	14.6	51.7	38.3	25	48.3	22.9
201567_s_at	NA	1041.3	633.9	809.5	1308.7	898	1405.2	1034.8	1432.2	800.3	994.7	902.7	943.4
201568_at	NA	6389.8	6801.2	6257.9	5980.7	7874	7423.5	5054.4	6684.8	6756.3	6569.9	6669.9	6271.5
201569_s_at	NA	347.7	614.8	512.1	432	388.2	316.9	547.7	418.2	551.7	361.6	439.2	453
201570_at	NA	974.3	1006.3	976.8	812.9	857.1	1034.2	756.6	901.7	798.8	1017.1	797.7	929
201571_s_at	NA	1135.5	828.8	990.9	1248.7	963.7	1455.5	1025.1	1008.1	1528.1	1036.2	1089.9	1826.2
201572_x_at	NA	1814.2	1259	1319.6	1765.8	1765.8	1625.4	1792.4	1444.1	1676.2	1784.1	1566.3	1721.2
201573_s_at	NA	957.3	1016.6	852.9	865.5	1118.7	1009.2	819.6	997.5	936.5	850.4	1063.1	1178
201574_at	NA	1828.4	1912.3	2267	1881	2545.9	1712	1332.8	2437.3	2266.9	1504.7	2554.5	2194.7
201575_at	NA	1430.5	1548.2	1572.8	1485.2	1920.4	1309.4	1244.5	1717.9	1454.7	1372.8	1689.1	1344.3
201576_s_at	NA	2503.8	2455.3	2984.8	1982.7	1782	2477.9	1815.1	1866.7	2512.9	1873.2	2075.6	2482.7
201577_at	NA	3101.6	4788.8	4073.6	3640	5870.5	5367.8	3593	5820.5	4707.4	4062	6047.4	5816.6
201578_at	NA	3437.3	2751.9	3064.5	2541.2	2675.8	2546.3	2353.9	2613.7	2829.4	2874	2647.7	2781
201579_at	NA	2260.5	2794	2669.6	1664.7	2083.9	1166.9	1431.4	2616.2	1430.8	1602.1	2834.8	1339.3
201580_s_at	NA	533	331	464.2	580.9	481.7	346.1	437.8	288.3	341	588.4	468	368
201581_at	NA	324.4	182.2	146.9	397.1	192.4	129.8	276.5	181.3	186.5	376.6	236.6	197.2
201582_at	NA	396.6	555	376.8	335.6	649.5	308.9	250.3	733.7	393	231.4	734.9	382.7
201583_s_at	NA	1422.1	2094.3	1656.3	1160.7	2217.9	1797.2	801.2	2268.8	1820	967.3	2162.6	1973.2
201584_s_at	NA	1927.1	2631.6	1868.8	2429.2	2808	2342.8	2436.6	2825.2	1857.4	2285.4	2887.3	2467.7
201585_s_at	NA	693.7	811.3	706	672.3	630.6	566.9	642.7	593.9	566.9	760.3	617.5	563.3
201586_s_at	NA	1849.2	2226.1	1697.3	1904.7	1678.3	905.3	1651.8	1333.1	1331	1849.4	1494.2	1235.1
201587_s_at	NA	2451.9	1747.2	2708.9	2870.9	3237.3	2361.4	2769.7	3338.1	3653.7	2939.7	3298.6	3912.1
201588_at	NA	2731.4	3759.5	3172.2	2928	4206.5	3606.1	2550.9	4151.5	3606	2982.8	4485.6	3436.6
201589_at	NA	1661.6	1234.8	1367.8	2023.2	1756.8	1067.2	1662.9	1941.1	1172.9	1767	2012.6	1511.6
201590_x_at	NA	13678.1	17844.4	14126.7	9993.2	18174.9	18452.9	12955.7	18231.6	14320.7	12574.1	17410.7	14026.9
201591_s_at	NA	992.5	1011.4	858.4	831.9	498.7	863.8	925	757.3	769.3	1100.1	706.1	855.3
201592_at	NA	4514.3	5521.6	4365.3	3923.6	4650	6590.2	4185.9	4542.8	4162.8	4153.8	4759.3	4929.5
201593_s_at	NA	2285.1	2298.7	2290.8	2351	2686.8	2775.7	1707.8	3115.3	2211.1	1961.4	2393.2	2656.6
201594_s_at	NA	2383	2517.3	2523.1	2259.5	2577.6	1657.6	2165.5	2280.5	2294.2	2235.9	2612.4	2180.8
